run,HV,IGD+,runtime_s,evaluations,generations,stopped_early
0,0.0,0.13980215791256212,170.20370040000125,2880,48,True
1,0.0,0.1416430642882308,115.5493329000019,1920,32,True
2,0.0,0.13166172449551117,158.75845539999136,2700,45,True
3,0.0,0.13644360221200014,186.56651370000327,3120,52,True
4,0.0,0.11411998059694906,150.63248929999827,2580,43,True
5,0.0,0.15181563710834678,103.46327399999427,1800,30,True
6,0.0,0.11513512978871365,111.70383769999899,1920,32,True
7,0.0,0.1269930380062445,158.66647380001086,2640,44,True
8,0.0,0.17883919703328988,112.96177179999358,1920,32,True
9,0.0,0.11549261861675186,112.88050040000235,1800,30,True
